mediaBT,mediaRX,varBT,varRX,medialat,varlat,Open,Close,mediadift,varDifT,Attack
0,0,0,0,0.026,8.10E-05,0,2,15.00211723,225.0489622,0
0,0,0,0,0,0,1,0,10.29121778,0,0
0,0,0,0,284.396,0,0,1,0.283487422,0,0
0,0,0,0,0.023,8.10E-05,0,2,9.714661632,94.36794237,0
0.5,0,0.25,0,156.688,23224.84561,2,1,0.8781935,1.135727976,0
0,0,0,0,0.024,8.10E-05,0,2,13.68471188,187.2603772,0
0,0,0,0,0.023,8.10E-05,0,2,15.00200098,225.0480198,0
0,0,0,0,0.0235,9.03E-05,0,2,15.00194587,225.0518753,0
0,0,0,0,0.023,0.000121,0,2,15.00184602,225.0494787,0
0,0,0,0,0.0205,5.63E-05,0,2,15.00194246,225.0518755,0
1,5,0,0,170225.464,0,0,1,22.83958627,0,0
0,0,0,0,0.0215,0.00011025,0,2,3.582593951,12.83403296,0
0,0,0,0,0.0215,0.00011025,0,2,15.00203726,225.0573089,0
0,0,0,0,0.023,8.10E-05,0,2,15.00228364,225.0618724,0
0,0,0,0,0.0215,0.00011025,0,2,15.00224969,225.0634742,0
0,0,0,0,285.363,0,1,1,5.267096858,24.82750275,0
0,0,0,0,0.0225,0.00011025,0,2,9.735098196,94.76950235,0
0,0,0,0,0.0245,0.00011025,1,2,10.00123058,157.0921399,0
0,0,0,0,0.0255,0.00015625,0,2,15.00229641,225.064425,0
0,0,0,0,0.0225,9.03E-05,0,2,15.002321,225.0583767,0
0,0,0,0,0.0225,0.00011025,0,2,15.0018616,225.0503995,0
0,0,0,0,0.0265,5.63E-05,0,2,15.0019609,225.0541672,0
0,0,0,0,6.17725,14.69134369,8,7,1.401282337,27.33134627,0
0,0,0,0,0.023,0.000121,13,2,0.598991762,1.511131357,0
20.5,19.5,272.25,182.25,2379252.962,11840522.29,32,2,0.214362681,0.846948648,0
1,6,0,0,248.322,0,1,1,0.16821688,0.006261997,0
0.111111111,6.777777778,0.098765432,367.5061728,60.59055556,18368.73157,6,5,216.0902951,466593.8568,0
0,0,0,0,0.7455,0.35105625,1,0,0.058009234,0,0
0,0,0,0,1.4345,0.18190225,2,0,0.347129798,0.118655551,0
0,0,0,0,16.171,111.112681,9,2,0.161461164,0.146513142,0
0,0,0,0,41.03871429,155.8192665,2,7,0.001918743,1.32E-05,0
0,4,0,0,5219.579667,1205.663714,0,3,0.168432658,0.056641163,0
0,0,0,0,13.3625,177.9613263,2,4,0.307341129,0.400295319,0
0,0,0,0,0.8442,0.06573856,1,0,0.620498409,0,0
0,0,0,0,16.0396,717.8665906,5,4,0.029093585,0.001378946,0
0,3,0,0,5258.181,0,2,1,1.705586003,0.46143536,0
0,0,0,0,0.027,6.40E-05,0,2,12.01623691,144.3848242,0
14.25,9.25,553.6875,93.6875,46642.5465,575067626.2,1,4,4.833655103,51.16847659,0
4,69,0,0,62820.534,0,0,1,0.773275823,0,0
3,4,0,0,62622.725,0,0,1,0.908459308,0,0
20,5,0,0,65138.17,0,0,1,2.837313467,0,0
0,0,0,0,0.025,4.90E-05,0,2,0.65850454,0.432830849,0
